Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
999.997,30,12,30,12,7,7,5,0.256836,0.416667,1.54545
2000,30,13,30,13,1,1,12,0.1875,0.333333,1.30769
3000,30,13,30,13,4,4,9,0.321537,0.458333,1.30769
4000,30,9,30,9,3,3,6,0.19549,0.361111,2
5000,30,14,30,14,1,1,13,0.333333,0.5,1.14286
6000,30,14,30,14,3,3,11,0.220085,0.5,1.15385
6999.99,30,11,30,11,1,1,10,0.133333,0.5,1.63636
8000,30,15,30,15,5,5,10,0.26488,0.4,0.933333
9000,30,12,30,12,3,3,9,0.0830688,0.5,1.63636
10000,30,15,30,15,4,4,11,0.238162,0.375,0.933333
11000,30,12,30,12,4,4,8,0.364843,0.425,1.41667
12000,30,16,30,16,3,3,13,0.293968,0.444444,0.8125
13000,30,10,30,9,3,3,6,0.242063,0.666667,2.11111
14000,30,16,30,16,3,3,13,0.117311,0.444444,0.933333
15000,30,11,30,11,3,3,8,0.135307,0.5,1.63636
16000,30,12,30,12,1,1,11,0.153846,0.5,1.63636
17000,30,13,30,13,5,5,8,0.373943,0.466667,1.33333
18000,30,15,30,15,3,3,12,0.408333,0.444444,1
19000,30,11,30,11,5,5,6,0.328451,0.433333,1.63636
20000,30,14,30,14,1,1,13,0.333333,0.333333,1.07143
21000,30,10,30,10,3,3,7,0.33549,0.388889,1.9
22000,30,12,30,12,2,2,10,0.125,0.5,1.30769
23000,30,14,30,14,2,2,12,0.148352,0.416667,1.15385
24000,30,17,30,17,3,3,14,0.21495,0.444444,0.764706
25000,30,11,30,11,1,1,10,0.0909091,0.5,1.72727
26000,30,13,30,13,3,3,10,0.103867,0.444444,1.30769
27000,30,13,30,13,3,3,10,0.0763348,0.5,1.41667
28000,30,12,30,12,2,2,10,0.0821018,0.5,1.54545
29000,30,15,30,15,2,2,13,0.134387,0.5,1
30000,30,11,30,11,4,4,7,0.283788,0.458333,1.72727
31000,30,11,30,11,3,3,8,0.151282,0.5,1.72727
32000,30,13,30,13,3,3,10,0.129337,0.444444,1.30769
33000,30,10,30,10,2,2,8,0.34,0.416667,2
34000,30,13,30,13,1,1,12,0.272727,0.333333,1.23077
35000,30,17,30,17,4,4,13,0.344118,0.458333,0.764706
36000,30,14,30,14,4,4,10,0.168561,0.458333,1.14286
37000,30,11,30,10,3,3,7,0.184541,0.666667,1.9
38000,30,17,30,17,3,3,14,0.0829885,0.5,0.8125
39000,30,15,30,15,5,5,10,0.200952,0.416667,1.07143
40000,30,17,30,17,2,2,15,0.077037,0.5,0.764706
41000,30,17,30,17,5,5,12,0.313931,0.433333,0.705882
42000,30,8,30,8,0,0,8,-nan,-nan,2.33333
43000,30,14,30,13,5,5,8,0.229262,0.566667,1.23077
44000,30,15,30,15,3,3,12,0.118822,0.444444,1
45000,30,13,30,13,3,3,10,0.17037,0.444444,1.33333
46000,30,14,30,14,5,5,9,0.370769,0.433333,1.23077
47000,30,11,30,11,5,5,6,0.295221,0.466667,1.5
48000,30,13,30,13,6,6,7,0.262609,0.5,1.14286
49000,30,13,30,13,7,7,6,0.253503,0.464286,1.23077
50000,30,12,30,12,3,3,9,0.380952,0.361111,1.5
51000,30,18,30,18,4,4,14,0.203283,0.383333,0.705882
52000,30,15,30,15,2,2,13,0.121795,0.416667,0.933333
53000,30,13,30,13,3,3,10,0.380326,0.444444,1.30769
54000,30,13,30,13,3,3,10,0.305952,0.388889,1.14286
55000,30,11,30,11,1,1,10,0.181818,0.5,1.72727
56000,30,12,30,12,1,1,11,0.0952381,0.5,1.5
57000,30,14,30,14,5,5,9,0.225388,0.433333,1.14286
58000,30,13,30,12,1,1,11,0.08,1,1.45455
59000,30,17,30,17,6,6,11,0.138644,0.472222,0.764706
60000,30,12,30,12,2,2,10,0.152632,0.5,1.5
61000,30,15,30,15,8,8,7,0.20958,0.479167,1.07143
62000,30,14,30,13,4,4,9,0.290647,0.458333,1.15385
63000,30,15,30,15,4,4,11,0.394892,0.458333,1.07143
64000,30,13,30,13,3,3,10,0.129986,0.5,1.23077
65000,30,13,30,13,2,2,11,0.131466,0.375,1.33333
66000,30,10,30,10,4,4,6,0.213648,0.279167,1.72727
67000,30,13,30,13,5,5,8,0.341111,0.466667,1.14286
68000,30,8,30,8,1,1,7,0.222222,0.5,2.625
69000,30,12,30,12,6,6,6,0.128981,0.472222,1.63636
70000,30,12,30,12,3,3,9,0.422222,0.444444,1.54545
71000,30,12,30,12,5,5,7,0.377284,0.466667,1.41667
72000,30,8,30,8,2,2,6,0.386905,0.416667,2.625
73000,30,10,30,10,5,5,5,0.211169,0.466667,2
74000,30,16,30,16,2,2,14,0.287037,0.416667,0.875
75000,30,10,30,9,3,3,6,0.237247,0.611111,2.22222
76000,30,15,30,15,3,3,12,0.212698,0.5,1.07143
77000,30,10,30,10,4,4,6,0.146061,0.416667,2
78000,30,12,30,12,4,4,8,0.18395,0.458333,1.41667
79000,30,10,30,10,4,4,6,0.431169,0.5,1.9
80000,30,19,30,19,2,2,17,0.112121,0.5,0.611111
81000,30,12,30,12,3,3,9,0.505882,0.5,1.5
82000,30,18,30,18,0,0,18,-nan,-nan,0.611111
83000,30,13,30,13,5,5,8,0.28072,0.466667,1.30769
84000,30,15,30,14,5,5,9,0.113175,0.533333,1.07692
85000,30,15,30,15,3,3,12,0.0987395,0.5,0.875
86000,30,13,30,13,3,3,10,0.137724,0.388889,1.30769
87000,30,12,30,12,3,3,9,0.125763,0.444444,1.30769
88000,30,15,30,15,3,3,12,0.119462,0.5,1
89000,30,6,30,6,2,2,4,0.3,0.5,3.28571
90000,30,12,30,12,2,2,10,0.321429,0.333333,1.41667
91000,30,19,30,19,2,2,17,0.160714,0.5,0.578947
92000,30,15,30,15,1,1,14,0.0869565,0.5,1
93000,30,17,30,17,3,3,14,0.189216,0.5,0.705882
94000,30,12,30,12,4,4,8,0.107271,0.458333,1.5
95000,30,16,30,16,4,4,12,0.346554,0.375,0.875
96000,30,11,30,11,2,2,9,0.0744828,0.5,1.9
97000,30,12,30,12,2,2,10,0.087619,0.5,1.41667
98000,30,15,30,15,2,2,13,0.1625,0.5,0.933333
99000,30,11,30,11,1,1,10,1,0.333333,1.72727
100000,30,7,30,7,3,3,4,0.195527,0.333333,2.75
101000,30,15,30,15,4,4,11,0.370536,0.416667,0.933333
102000,30,14,30,14,2,2,12,0.0954545,0.5,1.23077
103000,30,15,30,15,5,5,10,0.246337,0.433333,1
104000,30,9,30,9,4,4,5,0.211806,0.458333,2
105000,30,12,30,12,2,2,10,0.0859649,0.5,1.5
106000,30,15,30,15,3,3,12,0.266667,0.444444,1
107000,30,15,30,15,0,0,15,-nan,-nan,1
108000,30,12,30,10,3,3,7,0.356902,0.583333,1.8
109000,30,10,30,10,2,2,8,0.7,0.5,1.72727
110000,30,10,30,9,3,3,6,0.178422,0.611111,2.11111
111000,30,16,30,16,4,4,12,0.129593,0.458333,0.866667
112000,30,11,30,11,3,3,8,0.302469,0.444444,1.8
113000,30,11,30,11,1,1,10,0.4,0.5,1.72727
114000,30,12,30,12,3,3,9,0.408081,0.5,1.5
115000,30,11,30,11,2,2,9,0.25,0.416667,1.72727
116000,30,12,30,12,1,1,11,0.0909091,0.5,1.63636
117000,30,14,30,13,3,3,10,0.216993,0.666667,1.25
118000,30,11,30,11,1,1,10,0.111111,0.5,1.8
119000,30,11,30,11,3,3,8,0.372222,0.361111,1.5
120000,30,14,30,13,4,4,9,0.346078,0.625,1.33333
121000,30,12,30,12,5,5,7,0.196381,0.5,1.63636
122000,30,12,30,12,4,4,8,0.126852,0.5,1.5
123000,30,12,30,12,5,5,7,0.28967,0.5,1.54545
124000,30,15,30,15,5,5,10,0.270936,0.5,1
125000,30,10,30,10,1,1,9,0.25,0.5,1.9
126000,30,14,30,14,2,2,12,0.375,0.5,1
127000,30,15,30,15,3,3,12,0.114719,0.5,1.07143
128000,30,18,30,18,5,5,13,0.292554,0.416667,0.705882
129000,30,15,30,14,3,3,11,0.37013,0.5,1.15385
130000,30,18,30,18,2,2,16,0.371795,0.5,0.647059
131000,30,10,30,10,5,5,5,0.330969,0.433333,1.9
132000,30,14,30,14,2,2,12,0.320833,0.291667,1.14286
133000,30,15,30,15,4,4,11,0.27,0.5,0.933333
134000,30,14,30,14,3,3,11,0.295455,0.361111,1.23077
135000,30,11,30,11,2,2,9,0.284483,0.5,1.63636
136000,30,13,30,13,5,5,8,0.179253,0.45,1.23077
137000,30,14,30,14,3,3,11,0.0858586,0.5,1.14286
138000,30,11,30,11,2,2,9,0.576923,0.5,1.5
139000,30,14,30,14,5,5,9,0.309545,0.5,1.23077
140000,30,12,30,12,1,1,11,0.0740741,0.5,1.41667
141000,30,16,30,16,2,2,14,0.17734,0.5,0.933333
142000,30,13,30,13,4,4,9,0.25117,0.5,1.33333
143000,30,11,30,11,2,2,9,0.105978,0.5,1.72727
144000,30,14,30,14,4,4,10,0.185691,0.458333,1
145000,30,14,30,14,1,1,13,0.08,0.5,1.15385
146000,30,15,30,15,4,4,11,0.277083,0.5,1.07143
147000,30,14,30,14,2,2,12,0.077037,0.5,1.15385
148000,30,16,30,16,3,3,13,0.160185,0.444444,0.8125
149000,30,11,30,11,4,4,7,0.282268,0.416667,1.63636
150000,30,13,30,13,0,0,13,-nan,-nan,1.33333
151000,30,16,30,16,1,1,15,0.166667,0.5,0.8125
152000,30,12,30,12,4,4,8,0.146188,0.416667,1.41667
153000,30,13,30,13,3,3,10,0.20156,0.5,1.33333
154000,30,13,30,13,0,0,13,-nan,-nan,1.41667
155000,30,14,30,14,4,4,10,0.116435,0.458333,1.23077
156000,30,13,30,13,4,4,9,0.236376,0.4375,1.23077
157000,30,17,30,17,2,2,15,0.3,0.416667,0.764706
158000,30,8,30,8,2,2,6,0.21978,0.5,2.625
159000,30,11,30,11,1,1,10,0.333333,0.5,1.5
160000,30,11,30,11,1,1,10,0.25,0.333333,1.5
161000,30,17,30,16,4,4,12,0.100553,0.625,0.866667
162000,30,15,30,14,3,3,11,0.458025,0.555556,1.07143
163000,30,9,30,9,1,1,8,0.117647,0.5,2
164000,30,12,30,12,2,2,10,0.168478,0.5,1.63636
165000,30,9,30,9,2,2,7,0.0883459,0.5,2.22222
166000,30,21,30,21,5,5,16,0.305769,0.466667,0.428571
167000,30,13,30,13,3,3,10,0.501754,0.5,1.23077
168000,30,17,30,17,4,4,13,0.191056,0.458333,0.764706
169000,30,15,30,15,5,5,10,0.161494,0.433333,1
170000,30,15,30,15,7,7,8,0.317216,0.440476,1
171000,30,13,30,13,2,2,11,0.0910973,0.5,1.33333
172000,30,6,30,6,1,1,5,0.0952381,0.5,3.83333
173000,30,12,30,12,4,4,8,0.254345,0.458333,1.63636
174000,30,9,30,9,3,3,6,0.131523,0.5,2.22222
175000,30,15,30,15,3,3,12,0.173977,0.5,0.933333
176000,30,11,30,11,5,5,6,0.138023,0.45,1.5
177000,30,15,30,15,2,2,13,0.375,0.416667,0.875
178000,30,13,30,13,3,3,10,0.105644,0.5,1.41667
179000,30,16,30,16,2,2,14,0.146465,0.416667,0.764706
180000,30,13,30,13,5,5,8,0.253889,0.5,1.33333
181000,30,13,30,13,1,1,12,0.136364,0.333333,1.41667
182000,30,13,30,13,3,3,10,0.230098,0.361111,1.30769
183000,30,15,30,15,6,6,9,0.244741,0.5,1
184000,30,16,30,16,5,5,11,0.362821,0.433333,0.933333
185000,30,12,30,12,2,2,10,0.416667,0.5,1.5
186000,30,15,30,15,2,2,13,0.143333,0.416667,1
187000,30,12,30,12,1,1,11,0.08,0.5,1.63636
188000,30,15,30,15,0,0,15,-nan,-nan,1
189000,30,11,30,11,3,3,8,0.343434,0.444444,1.63636
190000,30,9,30,9,3,3,6,0.112274,0.5,2.5
191000,30,10,30,10,0,0,10,-nan,-nan,1.72727
192000,30,12,30,12,4,4,8,0.0985189,0.5,1.41667
193000,30,15,30,15,2,2,13,0.558824,0.5,1.07143
194000,30,15,30,15,1,1,14,0.105263,0.5,1.07143
195000,30,15,30,15,5,5,10,0.319487,0.433333,1
196000,30,13,30,13,4,4,9,0.413095,0.5,1.23077
197000,30,14,30,14,2,2,12,0.553571,0.333333,1
198000,30,17,30,16,3,3,13,0.236393,0.666667,0.75
199000,30,6,30,6,2,2,4,0.0988235,0.5,4
200000,30,12,30,12,1,1,11,0.0666667,0.5,1.63636
