seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
2022031,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022032,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022033,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022034,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022035,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022036,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022037,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022038,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022039,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022040,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022041,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022042,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022043,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022044,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022045,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022046,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022047,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022048,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022049,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022050,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022051,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022052,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022053,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022054,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022055,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022056,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022057,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022058,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022059,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022060,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022061,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022062,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022063,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022064,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
2022065,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
