seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
694282,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694283,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694284,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694285,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694286,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694287,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694288,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694289,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694290,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694291,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694292,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694293,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694294,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
694295,100,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-16,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
