index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.0098,19.6,0.0,52.05340000000001,2000.0
0.5,0.5,0.015400000000000002,30.8,0.0,52.52900000000001,2000.0
1.0,1.0,0.0261,52.2,0.0,52.82770000000001,2000.0
1.5,1.5,0.047200000000000006,94.4,0.0,54.0323,2000.0
2.0,2.0,0.07260000000000001,145.2,0.0,54.98370000000001,2000.0
2.5,2.5,0.118,236.0,0.0,56.908500000000004,2000.0
3.0,3.0,0.17340000000000003,346.8,0.0,59.6451,2000.0
3.5,3.5,0.2617,523.4,0.0,64.5885,2000.0
4.0,4.0,0.38099999999999995,762.0,0.0,70.0799,2000.0
4.5,4.5,0.4993,998.6,0.0,75.5487,2000.0
5.0,5.0,0.6283,1256.6,0.0,81.96799999999999,2000.0
5.5,5.5,0.7478,1495.6,0.0,87.62230000000002,2000.0
6.0,6.0,0.8310000000000001,1662.0,0.0,91.6674,2000.0
6.5,6.5,0.8844,1768.8,0.0,93.84020000000001,2000.0
7.0,7.0,0.8972999999999999,1794.6,0.0,94.2202,2000.0
7.5,7.5,0.8930999999999999,1786.2,0.0,93.7575,2000.0
8.0,8.0,0.8848,1769.6,0.0,93.0433,2000.0
8.5,8.5,0.8882999999999999,1776.6,0.0,93.2244,2000.0
9.0,9.0,0.8886,1777.2,0.0,92.8532,2000.0
9.5,9.5,0.8891,1778.2,0.0,93.00470000000001,2000.0
10.0,10.0,0.8907999999999999,1781.6,0.0,93.2089,2000.0
10.5,10.5,0.8763000000000002,1752.6,0.0,91.9103,2000.0
11.0,11.0,0.8801,1760.2,0.0,92.32469999999998,2000.0
11.5,11.5,0.8825999999999998,1765.2,0.0,92.3257,2000.0
12.0,12.0,0.8795,1759.0,0.0,92.0128,2000.0
12.5,12.5,0.8808,1761.6,0.0,92.0336,2000.0
13.0,13.0,0.8831,1766.2,0.0,92.2652,2000.0
13.5,13.5,0.8785999999999999,1757.2,0.0,92.03209999999999,2000.0
14.0,14.0,0.8726,1745.2,0.0,91.31700000000001,2000.0
14.5,14.5,0.8714999999999999,1743.0,0.0,91.4763,2000.0
15.0,15.0,0.8671000000000001,1734.2,0.0,90.81499999999998,2000.0
15.5,15.5,0.8521999999999998,1704.4,0.0,89.5016,2000.0
16.0,16.0,0.8535,1707.0,0.0,89.2203,2000.0
16.5,16.5,0.8349,1669.8,0.0,87.71429999999998,2000.0
17.0,17.0,0.8117000000000001,1623.4,0.0,84.8871,2000.0
17.5,17.5,0.7682,1536.4,0.0,80.7123,2000.0
18.0,18.0,0.7148,1429.6,0.0,75.28939999999999,2000.0
18.5,18.5,0.6422000000000001,1284.4,0.0,67.9155,2000.0
19.0,19.0,0.5652999999999999,1130.6,0.0,59.96130000000001,2000.0
19.5,19.5,0.47778149154592225,906.6,0.0,51.13389118850277,1897.2
20.0,20.0,0.4029617789211657,636.6,0.0,43.32744236834471,1580.6
20.5,20.5,0.3285477784296839,465.2,0.0,35.85412435173456,1416.8
21.0,21.0,0.28838895665585557,367.8,0.0,31.60926313531085,1275.4
21.5,21.5,0.2606560477709189,317.6,0.0,28.580808581481772,1219.8
22.0,22.0,0.24403878146540342,288.2,0.0,27.019032087737763,1181.2
22.5,22.5,0.23945144622734568,280.8,0.0,26.54104356554056,1174.2
23.0,23.0,0.23934115180312254,285.2,0.0,26.73939739103315,1192.0
23.5,23.5,0.26645134703553086,319.4,0.0,29.49711534066853,1199.2
24.0,24.0,0.31022690670786546,376.2,0.0,34.20806960682321,1213.0
24.5,24.5,0.3727525645437153,477.0,0.0,40.46550607352599,1279.6
25.0,25.0,0.49531469212959467,697.4,0.0,53.02167633628642,1408.0
25.5,25.5,0.6649839566039587,1225.4,0.0,70.82533180390548,1841.8
26.0,26.0,0.8234,1646.8,0.0,88.8449,2000.0
26.5,26.5,0.7734999999999999,1547.0,0.0,88.399,2000.0
27.0,27.0,0.6479,1295.8,0.0,82.505,2000.0
27.5,27.5,0.5034,1006.8,0.0,75.6106,2000.0
28.0,28.0,0.37510000000000004,750.2,0.0,69.27069999999999,2000.0
28.5,28.5,0.26770000000000005,535.4,0.0,64.1875,2000.0
29.0,29.0,0.177,354.0,0.0,59.3741,2000.0
29.5,29.5,0.1147,229.4,0.0,56.8365,2000.0
30.0,30.0,0.07150000000000001,143.0,0.0,54.6709,2000.0
30.5,30.5,0.043,86.0,0.0,53.7029,2000.0
31.0,31.0,0.030000000000000006,60.0,0.0,52.885000000000005,2000.0
31.5,31.5,0.0152,30.4,0.0,51.9963,2000.0
32.0,32.0,0.0102,20.4,0.0,51.76300000000001,2000.0
32.5,32.5,0.006200000000000001,12.4,0.0,51.599599999999995,2000.0
33.0,33.0,0.0031,6.2,0.0,51.154900000000005,2000.0
33.5,33.5,0.0029000000000000002,5.8,0.0,51.77850000000001,2000.0
34.0,34.0,0.0012000000000000001,2.4,0.0,51.6484,2000.0
34.5,34.5,0.00030000000000000003,0.6,0.0,51.36319999999999,2000.0
35.0,35.0,0.0005,1.0,0.0,51.1731,2000.0
35.5,35.5,0.0005,1.0,0.0,51.297900000000006,2000.0
36.0,36.0,0.0,0.0,,51.1339,2000.0
36.5,36.5,0.0001,0.2,0.0,50.539699999999996,2000.0
37.0,37.0,0.0001,0.2,0.0,51.299099999999996,2000.0
37.5,37.5,0.0,0.0,,51.241200000000006,2000.0
38.0,38.0,0.0001,0.2,0.0,51.1169,2000.0
38.5,38.5,0.0,0.0,,51.29870000000001,2000.0
39.0,39.0,0.0001,0.2,0.0,50.9727,2000.0
39.5,39.5,0.0,0.0,,51.157900000000005,2000.0
40.0,40.0,0.0,0.0,,51.404999999999994,2000.0
