index,G1,Complete probability,Complete samples,Error,Mean length,Total samples
-8,-8,0.89612,4480.6,0.0008873107474561747,94.15768,5000.0
-7,-7,0.8876000000000002,4438.0,0.0024583714586409065,93.74296,5000.0
-6,-6,0.8859199999999999,4429.6,0.006594369641819288,93.66192,5000.0
-5,-5,0.88124,4406.2,0.017745848674280324,93.2104,5000.0
-4,-4,0.8762400000000001,4381.2,0.047276039414040905,93.04284,5000.0
-3,-3,0.87988,4399.4,0.11864281011791908,93.25188,5000.0
-2,-2,0.89936,4496.8,0.26894996571421553,94.6018,5000.0
-1,-1,0.91304,4565.2,0.49981693656266285,95.66011999999999,5000.0
