index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.047099999999999996,94.2,0.0,17.613699999999998,2000.0
0.5,0.5,0.078,156.0,0.0,18.186,2000.0
1.0,1.0,0.1212,242.4,0.0,18.5653,2000.0
1.5,1.5,0.18689999999999998,373.8,0.0,19.6017,2000.0
2.0,2.0,0.284,568.0,0.0,21.0631,2000.0
2.5,2.5,0.41769999999999996,835.4,0.0,22.525299999999998,2000.0
3.0,3.0,0.6019,1203.8,0.0,24.7348,2000.0
3.5,3.5,0.7155,1431.0,0.0,25.5279,2000.0
4.0,4.0,0.7412000000000001,1482.4,0.0,25.564700000000002,2000.0
4.5,4.5,0.7449,1489.8,0.0,25.356299999999997,2000.0
5.0,5.0,0.7445999999999999,1489.2,0.0,25.128300000000003,2000.0
5.5,5.5,0.7413000000000001,1482.6,0.0,25.015400000000003,2000.0
6.0,6.0,0.735,1470.0,0.0,24.8493,2000.0
6.5,6.5,0.728,1456.0,0.0,24.681,2000.0
7.0,7.0,0.7304999999999999,1461.0,0.0,24.6417,2000.0
7.5,7.5,0.7209000000000001,1441.8,0.0,24.350100000000005,2000.0
8.0,8.0,0.7152000000000001,1430.4,0.0,24.2491,2000.0
8.5,8.5,0.7176,1435.2,0.0,24.3611,2000.0
9.0,9.0,0.7132000000000001,1426.4,0.0,24.1132,2000.0
9.5,9.5,0.726,1452.0,0.0,24.406399999999998,2000.0
10.0,10.0,0.7187,1437.4,0.0,24.268,2000.0
10.5,10.5,0.7138000000000002,1427.6,0.0,24.136899999999997,2000.0
11.0,11.0,0.7064999999999999,1413.0,0.0,23.8945,2000.0
11.5,11.5,0.7053,1410.6,0.0,23.7943,2000.0
12.0,12.0,0.6944999999999999,1389.0,0.0,23.569100000000002,2000.0
12.5,12.5,0.6827,1365.4,0.0,23.151999999999997,2000.0
13.0,13.0,0.6696,1339.2,0.0,22.709999999999997,2000.0
13.5,13.5,0.6523,1304.6,0.0,22.118299999999998,2000.0
14.0,14.0,0.6089,1217.8,0.0,20.897399999999998,2000.0
14.5,14.5,0.5658000000000001,1131.6,0.0,19.4086,2000.0
15.0,15.0,0.4968,993.6,0.0,17.3791,2000.0
15.5,15.5,0.4353999999999999,870.8,0.0,15.515,2000.0
16.0,16.0,0.3698,739.6,0.0,13.4177,2000.0
16.5,16.5,0.31670000000000004,633.4,0.0,11.7758,2000.0
17.0,17.0,0.27799999999999997,556.0,0.0,10.624499999999998,2000.0
17.5,17.5,0.2561,512.2,0.0,9.8818,2000.0
18.0,18.0,0.23840000000000003,476.8,0.0,9.419799999999999,2000.0
18.5,18.5,0.2367,473.4,0.0,9.3352,2000.0
19.0,19.0,0.2446,489.2,0.0,9.637699999999999,2000.0
19.5,19.5,0.26660000000000006,533.2,0.0,10.350900000000001,2000.0
20.0,20.0,0.2983,596.6,0.0,11.348299999999998,2000.0
20.5,20.5,0.3479,695.8,0.0,12.964500000000001,2000.0
21.0,21.0,0.4441,888.2,0.0,15.895900000000001,2000.0
21.5,21.5,0.5622999999999999,1124.6,0.0,19.7712,2000.0
22.0,22.0,0.633,1266.0,0.0,23.4196,2000.0
22.5,22.5,0.5221,1044.2,0.0,23.692200000000003,2000.0
23.0,23.0,0.3363,672.6,0.0,21.446800000000003,2000.0
23.5,23.5,0.23009999999999997,460.2,0.0,20.063399999999998,2000.0
24.0,24.0,0.14040000000000002,280.8,0.0,18.9112,2000.0
24.5,24.5,0.08900000000000001,178.0,0.0,18.1556,2000.0
25.0,25.0,0.0498,99.6,0.0,17.7075,2000.0
25.5,25.5,0.0335,67.0,0.0,17.6218,2000.0
26.0,26.0,0.018600000000000002,37.2,0.0,17.3386,2000.0
26.5,26.5,0.012100000000000001,24.2,0.0,17.214999999999996,2000.0
27.0,27.0,0.0076,15.2,0.0,17.1228,2000.0
27.5,27.5,0.0049,9.8,0.0,17.0061,2000.0
28.0,28.0,0.0031,6.2,0.0,17.2053,2000.0
28.5,28.5,0.0013000000000000002,2.6,0.0,17.0713,2000.0
29.0,29.0,0.001,2.0,0.0,16.962300000000003,2000.0
29.5,29.5,0.0007,1.4,0.0,16.849700000000002,2000.0
30.0,30.0,0.0007,1.4,0.0,17.0485,2000.0
30.5,30.5,0.0008,1.6,0.0,17.137100000000004,2000.0
31.0,31.0,0.0001,0.2,0.0,17.107099999999996,2000.0
31.5,31.5,0.0001,0.2,0.0,17.130599999999998,2000.0
32.0,32.0,0.0,0.0,,17.1342,2000.0
32.5,32.5,0.0,0.0,,17.1554,2000.0
33.0,33.0,0.0,0.0,,17.047,2000.0
33.5,33.5,0.0,0.0,,16.9373,2000.0
34.0,34.0,0.0001,0.2,0.0,17.0422,2000.0
34.5,34.5,0.0,0.0,,17.032,2000.0
35.0,35.0,0.0,0.0,,17.084699999999998,2000.0
35.5,35.5,0.0,0.0,,17.1145,2000.0
36.0,36.0,0.0,0.0,,16.9988,2000.0
36.5,36.5,0.0,0.0,,17.1849,2000.0
37.0,37.0,0.0,0.0,,17.1239,2000.0
37.5,37.5,0.0,0.0,,17.0283,2000.0
38.0,38.0,0.0,0.0,,17.0325,2000.0
38.5,38.5,0.0,0.0,,17.030900000000003,2000.0
39.0,39.0,0.0,0.0,,16.9906,2000.0
39.5,39.5,0.0,0.0,,17.135,2000.0
40.0,40.0,0.0,0.0,,17.123,2000.0
