index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.03560000000000001,71.2,0.0,16.1467,2000.0
0.5,0.5,0.0571,114.2,0.0,16.4022,2000.0
1.0,1.0,0.08920000000000002,178.4,0.0,17.0954,2000.0
1.5,1.5,0.1385,277.0,0.0,17.6419,2000.0
2.0,2.0,0.21149999999999997,423.0,0.0,18.7543,2000.0
2.5,2.5,0.3157,631.4,0.0,20.2914,2000.0
3.0,3.0,0.43600000000000005,872.0,0.0,21.9177,2000.0
3.5,3.5,0.5591999999999999,1118.4,0.0,23.715500000000002,2000.0
4.0,4.0,0.6833,1366.6,0.0,25.556900000000002,2000.0
4.5,4.5,0.7893,1578.6,0.0,26.990499999999997,2000.0
5.0,5.0,0.8709000000000001,1741.8,0.0,28.1241,2000.0
5.5,5.5,0.9235,1847.0,0.0,28.851,2000.0
6.0,6.0,0.9417,1883.4,0.0,29.032100000000003,2000.0
6.5,6.5,0.9437,1887.4,0.0,28.892900000000004,2000.0
7.0,7.0,0.9301,1860.2,0.0,28.4991,2000.0
7.5,7.5,0.9182,1836.4,0.0,28.223900000000004,2000.0
8.0,8.0,0.9158000000000002,1831.6,0.0,28.123,2000.0
8.5,8.5,0.9093,1818.6,0.0,27.9603,2000.0
9.0,9.0,0.9010999999999999,1802.2,0.0,27.6582,2000.0
9.5,9.5,0.8958999999999999,1791.8,0.0,27.529200000000003,2000.0
10.0,10.0,0.8942,1788.4,0.0,27.5142,2000.0
10.5,10.5,0.8843,1768.6,0.0,27.236700000000003,2000.0
11.0,11.0,0.8905999999999998,1781.2,0.0,27.354300000000002,2000.0
11.5,11.5,0.889,1778.0,0.0,27.3178,2000.0
12.0,12.0,0.8846,1769.2,0.0,27.2026,2000.0
12.5,12.5,0.8806,1761.2,0.0,27.108500000000003,2000.0
13.0,13.0,0.8766,1753.2,0.0,26.994099999999996,2000.0
13.5,13.5,0.8671,1734.2,0.0,26.728700000000003,2000.0
14.0,14.0,0.8622,1724.4,0.0,26.551299999999998,2000.0
14.5,14.5,0.8480000000000001,1696.0,0.0,26.186400000000003,2000.0
15.0,15.0,0.8345,1669.0,0.0,25.780700000000003,2000.0
15.5,15.5,0.7986,1597.2,0.0,24.7218,2000.0
16.0,16.0,0.7451999999999999,1490.4,0.0,23.2394,2000.0
16.5,16.5,0.6760999999999999,1352.2,0.0,21.2423,2000.0
17.0,17.0,0.5997,1199.4,0.0,19.0917,2000.0
17.5,17.5,0.524,1048.0,0.0,16.9088,2000.0
18.0,18.0,0.44449999999999995,889.0,0.0,14.692299999999998,2000.0
18.5,18.5,0.38560000000000005,771.2,0.0,12.9646,2000.0
19.0,19.0,0.3297,659.4,0.0,11.400899999999998,2000.0
19.5,19.5,0.30060000000000003,601.2,0.0,10.598000000000003,2000.0
20.0,20.0,0.2811,562.2,0.0,10.0643,2000.0
20.5,20.5,0.28019999999999995,560.4,0.0,10.0208,2000.0
21.0,21.0,0.2881,576.2,0.0,10.3056,2000.0
21.5,21.5,0.31379999999999997,627.6,0.0,11.115300000000001,2000.0
22.0,22.0,0.3579,715.8,0.0,12.4052,2000.0
22.5,22.5,0.42829999999999996,856.6,0.0,14.4434,2000.0
23.0,23.0,0.5441,1088.2,0.0,17.766600000000004,2000.0
23.5,23.5,0.7257,1451.4,0.0,22.9232,2000.0
24.0,24.0,0.8703,1740.6,0.0,27.3798,2000.0
24.5,24.5,0.8321999999999999,1664.4,0.0,27.4349,2000.0
25.0,25.0,0.7278,1455.6,0.0,26.100900000000003,2000.0
25.5,25.5,0.6025,1205.0,0.0,24.3471,2000.0
26.0,26.0,0.4655,931.0,0.0,22.379,2000.0
26.5,26.5,0.3403,680.6,0.0,20.523900000000005,2000.0
27.0,27.0,0.23869999999999997,477.4,0.0,19.0873,2000.0
27.5,27.5,0.1638,327.6,0.0,18.0417,2000.0
28.0,28.0,0.098,196.0,0.0,17.1002,2000.0
28.5,28.5,0.06810000000000001,136.2,0.0,16.628500000000003,2000.0
29.0,29.0,0.0421,84.2,0.0,16.4192,2000.0
29.5,29.5,0.0262,52.4,0.0,16.0214,2000.0
30.0,30.0,0.014299999999999998,28.6,0.0,15.859,2000.0
30.5,30.5,0.0082,16.4,0.0,15.6958,2000.0
31.0,31.0,0.004999999999999999,10.0,0.0,15.6731,2000.0
31.5,31.5,0.0026000000000000003,5.2,0.0,15.715100000000001,2000.0
32.0,32.0,0.0024000000000000002,4.8,0.0,15.720099999999999,2000.0
32.5,32.5,0.0009000000000000001,1.8,0.0,15.7744,2000.0
33.0,33.0,0.0006000000000000001,1.2,0.0,15.729500000000002,2000.0
33.5,33.5,0.0002,0.4,0.0,15.7232,2000.0
34.0,34.0,0.0004,0.8,0.0,15.577800000000002,2000.0
34.5,34.5,0.0001,0.2,0.0,15.723499999999998,2000.0
35.0,35.0,0.0001,0.2,0.0,15.6213,2000.0
35.5,35.5,0.0001,0.2,0.0,15.5257,2000.0
36.0,36.0,0.0,0.0,,15.725,2000.0
36.5,36.5,0.0001,0.2,0.0,15.7302,2000.0
37.0,37.0,0.0,0.0,,15.6651,2000.0
37.5,37.5,0.0,0.0,,15.7179,2000.0
38.0,38.0,0.0,0.0,,15.6928,2000.0
38.5,38.5,0.0,0.0,,15.6665,2000.0
39.0,39.0,0.0,0.0,,15.706100000000001,2000.0
39.5,39.5,0.0,0.0,,15.684300000000002,2000.0
40.0,40.0,0.0,0.0,,15.754499999999998,2000.0
