seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
1156727,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156728,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156729,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156730,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156731,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156732,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156733,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156734,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156735,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156736,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156737,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156738,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156739,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156740,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156741,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156742,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156743,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156744,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156745,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156746,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156747,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156748,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156749,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156750,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156751,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156752,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156753,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156754,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156755,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156756,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156757,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156758,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156759,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156760,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156761,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156762,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156763,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156764,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156765,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156766,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156767,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1156768,30,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
