index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.033600000000000005,67.2,0.0,64.2737,2000.0
0.5,0.5,0.0603,120.6,0.0,64.47510000000001,2000.0
1.0,1.0,0.09080000000000002,181.6,0.0,64.509,2000.0
1.5,1.5,0.1557,311.4,0.0,65.3056,2000.0
2.0,2.0,0.2492,498.4,0.0,67.1043,2000.0
2.5,2.5,0.3748,749.6,0.0,67.755,2000.0
3.0,3.0,0.4612,922.4,0.0,67.6289,2000.0
3.5,3.5,0.48979999999999996,979.6,0.0,67.36,2000.0
4.0,4.0,0.49449999999999994,989.0,0.0,66.68699999999998,2000.0
4.5,4.5,0.48979999999999996,979.6,0.0,66.0718,2000.0
5.0,5.0,0.48250000000000004,965.0,0.0,65.0732,2000.0
5.5,5.5,0.48149999999999993,963.0,0.0,64.84190000000001,2000.0
6.0,6.0,0.4763,952.6,0.0,64.2681,2000.0
6.5,6.5,0.47119999999999995,942.4,0.0,63.680099999999996,2000.0
7.0,7.0,0.47000000000000003,940.0,0.0,63.46040000000001,2000.0
7.5,7.5,0.47240000000000004,944.8,0.0,63.4779,2000.0
8.0,8.0,0.47430000000000005,948.6,0.0,63.5432,2000.0
8.5,8.5,0.47729999999999995,954.6,0.0,63.46840000000001,2000.0
9.0,9.0,0.4669,933.8,0.0,62.8096,2000.0
9.5,9.5,0.47779999999999995,955.6,0.0,63.865300000000005,2000.0
10.0,10.0,0.46880000000000005,937.6,0.0,62.629999999999995,2000.0
10.5,10.5,0.4646,929.2,0.0,62.44930000000001,2000.0
11.0,11.0,0.4640000000000001,928.0,0.0,62.504999999999995,2000.0
11.5,11.5,0.47040000000000004,940.8,0.0,62.8076,2000.0
12.0,12.0,0.4612,922.4,0.0,61.77600000000001,2000.0
12.5,12.5,0.45520000000000005,910.4,0.0,60.9562,2000.0
13.0,13.0,0.4408,881.6,0.0,59.3908,2000.0
13.5,13.5,0.4156000000000001,831.2,0.0,56.6899,2000.0
14.0,14.0,0.39719999999999994,794.4,0.0,53.400800000000004,2000.0
14.5,14.5,0.3707,741.4,0.0,49.807900000000004,2000.0
15.0,15.0,0.3156,631.2,0.0,43.4925,2000.0
15.5,15.5,0.2797,559.4,0.0,37.9807,2000.0
16.0,16.0,0.2355,471.0,0.0,32.6273,2000.0
16.5,16.5,0.20400000000000001,408.0,0.0,28.4052,2000.0
17.0,17.0,0.1786,357.2,0.0,25.1918,2000.0
17.5,17.5,0.15819999999999998,316.4,0.0,22.551399999999997,2000.0
18.0,18.0,0.1535,307.0,0.0,21.7521,2000.0
18.5,18.5,0.14789999999999998,295.8,0.0,21.0549,2000.0
19.0,19.0,0.1559,311.8,0.0,22.0904,2000.0
19.5,19.5,0.1562,312.4,0.0,22.7701,2000.0
20.0,20.0,0.177,354.0,0.0,25.169400000000003,2000.0
20.5,20.5,0.20400000000000001,408.0,0.0,28.975599999999996,2000.0
21.0,21.0,0.25579999999999997,511.6,0.0,35.461,2000.0
21.5,21.5,0.3157,631.4,0.0,43.7456,2000.0
22.0,22.0,0.3801,760.2,0.0,54.0018,2000.0
22.5,22.5,0.38960000000000006,779.2,0.0,63.116200000000006,2000.0
23.0,23.0,0.2903,580.6,0.0,66.733,2000.0
23.5,23.5,0.18050000000000002,361.0,0.0,64.9681,2000.0
24.0,24.0,0.1135,227.0,0.0,64.95309999999999,2000.0
24.5,24.5,0.0683,136.6,0.0,63.7638,2000.0
25.0,25.0,0.0377,75.4,0.0,64.1206,2000.0
25.5,25.5,0.0262,52.4,0.0,64.0539,2000.0
26.0,26.0,0.013999999999999999,28.0,0.0,63.913599999999995,2000.0
26.5,26.5,0.0087,17.4,0.0,64.0002,2000.0
27.0,27.0,0.006799999999999999,13.6,0.0,63.66420000000001,2000.0
27.5,27.5,0.0035000000000000005,7.0,0.0,63.52499999999999,2000.0
28.0,28.0,0.0026000000000000003,5.2,0.0,63.7332,2000.0
28.5,28.5,0.0015,3.0,0.0,63.2427,2000.0
29.0,29.0,0.00030000000000000003,0.6,0.0,63.78430000000001,2000.0
29.5,29.5,0.0008,1.6,0.0,63.3865,2000.0
30.0,30.0,0.0005,1.0,0.0,63.505500000000005,2000.0
30.5,30.5,0.0002,0.4,0.0,63.846900000000005,2000.0
31.0,31.0,0.0002,0.4,0.0,63.778800000000004,2000.0
31.5,31.5,0.0,0.0,,63.28679999999999,2000.0
32.0,32.0,0.0001,0.2,0.0,63.803,2000.0
32.5,32.5,0.0,0.0,,63.427099999999996,2000.0
33.0,33.0,0.0,0.0,,63.971500000000006,2000.0
33.5,33.5,0.0,0.0,,63.3035,2000.0
34.0,34.0,0.0,0.0,,63.5585,2000.0
34.5,34.5,0.0,0.0,,63.6718,2000.0
35.0,35.0,0.0,0.0,,63.7201,2000.0
35.5,35.5,0.0,0.0,,63.39119999999999,2000.0
36.0,36.0,0.0,0.0,,63.65599999999999,2000.0
36.5,36.5,0.0,0.0,,63.36030000000001,2000.0
37.0,37.0,0.0,0.0,,63.36110000000001,2000.0
37.5,37.5,0.0,0.0,,63.0706,2000.0
38.0,38.0,0.0,0.0,,63.41330000000001,2000.0
38.5,38.5,0.0,0.0,,64.02590000000001,2000.0
39.0,39.0,0.0,0.0,,64.0154,2000.0
39.5,39.5,0.0,0.0,,63.794900000000005,2000.0
40.0,40.0,0.0,0.0,,63.2915,2000.0
