Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
999.971,30,30,30,30,1,1,29,0.0769231,0.5,0
1999.98,30,30,30,30,4,4,26,0.390064,0.5,0
2999.97,30,30,30,30,3,3,27,0.100926,0.5,0
4000,30,30,30,29,1,1,28,0.08,1,0
4999.95,30,30,30,30,0,0,30,-nan,-nan,0
5999.99,30,30,30,30,2,2,28,0.179894,0.5,0
6999.99,30,30,30,30,2,2,28,0.302632,0.5,0
7999.99,30,30,30,30,1,1,29,0.5,0.5,0
8999.99,30,30,30,30,0,0,30,-nan,-nan,0
10000,30,30,30,29,2,2,27,0.143478,0.75,0
11000,30,30,30,30,2,2,28,0.0980861,0.5,0
12000,30,30,30,30,1,1,29,0.153846,0.5,0
13000,30,30,30,30,1,1,29,0.222222,0.5,0
14000,30,29,30,28,3,3,25,0.442308,0.666667,0.037037
15000,30,29,30,29,1,1,28,0.133333,0.5,0.0357143
16000,30,30,30,30,0,0,30,-nan,-nan,0
17000,30,30,30,30,2,2,28,0.3,0.5,0
18000,30,30,30,30,1,1,29,0.08,0.5,0
19000,30,29,30,29,1,1,28,0.0769231,0.5,0.0357143
20000,30,30,30,30,0,0,30,-nan,-nan,0
21000,30,30,30,30,2,2,28,0.0811688,0.5,0
22000,30,30,30,30,1,1,29,0.105263,0.5,0
23000,30,30,30,30,2,2,28,0.20202,0.5,0
24000,30,30,30,30,3,3,27,0.108669,0.5,0
25000,30,30,30,30,2,2,28,0.1337,0.375,0
26000,30,30,30,30,2,2,28,0.166667,0.5,0
27000,30,30,30,30,0,0,30,-nan,-nan,0
28000,30,30,30,30,0,0,30,-nan,-nan,0
29000,30,30,30,30,0,0,30,-nan,-nan,0
30000,30,30,30,30,1,1,29,0.0666667,0.5,0
31000,30,30,30,30,1,1,29,1,0.5,0
32000,30,30,30,29,1,1,28,0.0714286,1,0
33000,30,30,30,30,0,0,30,-nan,-nan,0
34000,30,30,30,30,1,1,29,0.0689655,0.5,0
35000,30,30,30,30,1,1,29,0.153846,0.5,0
36000,30,30,30,30,2,2,28,0.4,0.5,0
36999.9,30,30,30,30,2,2,28,0.0961098,0.5,0
38000,30,30,30,30,0,0,30,-nan,-nan,0
39000,30,30,30,30,0,0,30,-nan,-nan,0
40000,30,30,30,29,2,2,27,0.534483,0.75,0
41000,30,30,30,30,1,1,29,0.666667,0.5,0
41999.9,30,30,30,30,1,1,29,0.0740741,0.5,0
42999.9,30,30,30,30,0,0,30,-nan,-nan,0
44000,30,30,30,30,2,2,28,0.176923,0.5,0
45000,30,30,30,30,0,0,30,-nan,-nan,0
46000,30,30,30,30,1,1,29,0.0689655,0.5,0
47000,30,30,30,30,1,1,29,0.0740741,0.5,0
47999.9,30,30,30,30,1,1,29,1,0.5,0
48999.9,30,30,30,30,1,1,29,0.08,0.5,0
50000,30,30,30,30,2,2,28,0.161111,0.5,0
51000,30,30,30,30,1,1,29,0.125,0.5,0
51999.9,30,30,30,30,2,2,28,0.123333,0.5,0
53000,30,30,30,30,2,2,28,0.119048,0.5,0
54000,30,30,30,29,2,2,27,0.192857,0.75,0
55000,30,30,30,30,0,0,30,-nan,-nan,0
56000,30,30,30,30,1,1,29,0.105263,0.5,0
57000,30,30,30,30,0,0,30,-nan,-nan,0
57999.8,30,30,30,30,0,0,30,-nan,-nan,0
59000,30,30,30,30,1,1,29,0.117647,0.5,0
60000,30,30,30,30,1,1,29,0.0833333,0.5,0
61000,30,30,30,29,1,1,28,0.0909091,1,0
61999.8,30,30,30,30,0,0,30,-nan,-nan,0
63000,30,30,30,30,1,1,29,0.5,0.5,0
64000,30,30,30,30,1,1,29,0.0714286,0.5,0
64999.9,30,30,30,30,0,0,30,-nan,-nan,0
66000,30,30,30,30,1,1,29,0.4,0.5,0
67000,30,30,30,29,5,5,24,0.191136,0.6,0
67999.9,30,30,30,30,1,1,29,0.0689655,0.5,0
69000,30,30,30,30,2,2,28,0.0940171,0.5,0
70000,30,30,30,30,3,3,27,0.0864876,0.5,0
71000,30,30,30,30,0,0,30,-nan,-nan,0
72000,30,30,30,30,0,0,30,-nan,-nan,0
73000,30,30,30,30,0,0,30,-nan,-nan,0
73999.9,30,30,30,30,3,3,27,0.380952,0.5,0
75000,30,30,30,30,2,2,28,0.576923,0.5,0
76000,30,30,30,30,0,0,30,-nan,-nan,0
77000,30,30,30,30,1,1,29,0.08,0.5,0
78000,30,30,30,30,1,1,29,0.142857,0.5,0
79000,30,30,30,30,1,1,29,0.333333,0.5,0
80000,30,30,30,30,1,1,29,0.111111,0.5,0
81000,30,29,30,29,1,1,28,0.153846,0.5,0.0357143
82000,30,30,30,30,1,1,29,0.2,0.5,0
83000,30,30,30,30,1,1,29,0.5,0.5,0
84000,30,30,30,30,3,3,27,0.0997475,0.5,0
85000,30,30,30,30,1,1,29,0.08,0.5,0
86000,30,30,30,30,1,1,29,0.0952381,0.5,0
86999.9,30,30,30,30,1,1,29,0.125,0.333333,0
88000,30,29,30,29,3,3,26,0.20406,0.5,0.0357143
89000,30,30,30,30,1,1,29,0.125,0.5,0
90000,30,30,30,30,2,2,28,0.0910973,0.5,0
91000,30,30,30,30,1,1,29,0.142857,0.5,0
92000,30,30,30,30,0,0,30,-nan,-nan,0
