Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
999.997,30,25,30,25,22,22,3,0.891349,0.131204,0.208333
2000,30,30,30,30,27,27,3,0.831467,0.155219,0
2999.97,30,29,30,29,27,27,2,0.682766,0.170397,0.0357143
3999.99,30,26,30,26,20,20,6,0.596788,0.192243,0.16
5000,30,26,30,26,26,26,0,0.811697,0.146602,0.153846
5999.92,30,30,30,30,24,24,6,0.817337,0.137021,0
7000,30,29,30,29,27,27,2,0.807294,0.124191,0.0357143
8000,30,29,30,28,25,25,3,0.754367,0.176981,0.037037
8999.99,30,29,30,29,25,25,4,0.688361,0.153694,0.0357143
9999.99,30,28,30,28,24,24,4,0.860524,0.130552,0.0740741
11000,30,28,30,28,25,25,3,0.811587,0.123743,0.0740741
12000,30,27,30,27,23,23,4,0.658144,0.157643,0.111111
13000,30,28,30,28,27,27,1,0.829053,0.11902,0.0740741
14000,30,28,30,28,25,25,3,0.896275,0.114721,0.0740741
15000,30,29,30,29,27,27,2,0.793815,0.144281,0.0357143
16000,30,29,30,29,27,27,2,0.704138,0.155821,0.0357143
17000,30,28,30,28,24,24,4,0.921647,0.103712,0.0740741
18000,30,28,30,28,26,26,2,0.653802,0.184024,0.0714286
19000,30,29,30,29,26,26,3,0.846416,0.111087,0.0357143
20000,30,27,30,27,24,24,3,0.792863,0.155971,0.115385
21000,30,27,30,27,24,24,3,0.742612,0.175046,0.115385
22000,30,27,30,27,26,26,1,0.737206,0.14715,0.115385
23000,30,26,30,26,23,23,3,0.776591,0.134609,0.153846
24000,30,26,30,26,23,23,3,0.694399,0.146106,0.16
25000,30,28,30,28,25,25,3,0.865101,0.120111,0.0740741
26000,30,29,30,29,27,27,2,0.916768,0.11661,0.0357143
27000,30,28,30,28,24,24,4,0.697175,0.157115,0.0740741
28000,30,28,30,28,27,27,1,0.754489,0.143507,0.0740741
29000,30,27,30,27,26,26,1,0.691108,0.180308,0.111111
30000,30,26,30,26,23,23,3,0.808053,0.145797,0.16
30999.5,30,29,30,29,27,27,2,0.838777,0.154084,0.0357143
32000,30,29,30,29,25,25,4,0.868526,0.12011,0.0357143
33000,30,25,30,25,24,24,1,0.691684,0.179425,0.208333
34000,30,26,30,26,25,25,1,0.82137,0.132044,0.115385
34999.6,30,30,30,30,26,26,4,0.776405,0.143362,0
36000,30,28,30,28,25,25,3,0.699428,0.166152,0.0740741
37000,30,28,30,28,25,25,3,0.778858,0.151718,0.0740741
38000,30,29,30,29,25,25,4,0.837301,0.142882,0.0357143
39000,30,27,30,27,26,26,1,0.700495,0.170799,0.115385
40000,30,29,30,29,23,23,6,0.7737,0.134501,0.0357143
41000,30,28,30,28,26,26,2,0.847405,0.144703,0.0740741
41999.7,30,30,30,30,26,26,4,0.709489,0.156047,0
43000,30,29,30,29,26,26,3,0.753677,0.1698,0.0357143
44000,30,27,30,27,24,24,3,0.745129,0.168758,0.115385
45000,30,28,30,28,26,26,2,0.74753,0.178945,0.0714286
46000,30,29,30,29,25,25,4,0.786195,0.136191,0.0357143
47000,30,28,30,28,23,23,5,0.780478,0.131955,0.0740741
48000,30,27,30,27,25,25,2,0.774089,0.147565,0.115385
49000,30,29,30,29,26,26,3,0.796786,0.144758,0.0344828
50000,30,27,30,27,25,25,2,0.84421,0.128838,0.115385
51000,30,28,30,28,26,26,2,0.762423,0.152394,0.0714286
52000,30,28,30,28,25,25,3,0.755181,0.146384,0.0740741
53000,30,26,30,26,23,23,3,0.755391,0.155159,0.16
54000,30,25,30,25,22,22,3,0.829429,0.124254,0.208333
55000,30,28,30,28,26,26,2,0.709323,0.153612,0.0740741
56000,30,27,30,27,24,24,3,0.768158,0.148512,0.115385
57000,30,28,30,28,26,26,2,0.749291,0.132642,0.0740741
58000,30,26,30,26,23,23,3,0.89367,0.129185,0.16
59000,30,28,30,28,26,26,2,0.749689,0.148059,0.0740741
60000,30,28,30,28,26,26,2,0.801344,0.134804,0.0740741
61000,30,26,30,25,25,25,0,0.763786,0.132869,0.16
62000,30,28,30,28,24,24,4,0.768417,0.150322,0.0740741
63000,30,26,30,26,24,24,2,0.719096,0.167558,0.16
64000,30,30,30,30,25,25,5,0.777641,0.128924,0
65000,30,26,30,26,25,25,1,0.758033,0.133377,0.16
66000,30,27,30,27,25,25,2,0.601421,0.20048,0.111111
67000,30,29,30,29,26,26,3,0.755294,0.130311,0.0357143
68000,30,28,30,28,26,26,2,0.704532,0.164359,0.0740741
69000,30,27,30,27,23,23,4,0.829261,0.123924,0.111111
69999.9,30,29,30,29,22,22,7,0.783455,0.150697,0.0357143
71000,30,28,30,28,27,27,1,0.727424,0.166544,0.0740741
72000,30,29,30,29,25,25,4,0.833923,0.138216,0.0357143
73000,30,28,30,28,24,24,4,0.701141,0.170052,0.0740741
74000,30,26,30,26,25,25,1,0.713625,0.192619,0.16
75000,30,29,30,29,26,26,3,0.739414,0.147853,0.0357143
76000,30,28,30,27,25,25,2,0.841164,0.129734,0.0769231
77000,30,27,30,27,24,24,3,0.783457,0.167292,0.115385
78000,30,28,30,28,24,24,4,0.847289,0.134943,0.0740741
79000,30,27,30,27,22,22,5,0.716534,0.153962,0.115385
80000,30,29,30,29,26,26,3,0.821854,0.12682,0.0357143
81000,30,26,30,26,25,25,1,0.771675,0.138182,0.16
82000,30,29,30,29,25,25,4,0.730209,0.179797,0.0357143
83000,30,29,30,29,27,27,2,0.727835,0.156892,0.0344828
84000,30,28,30,28,26,26,2,0.791753,0.139677,0.0740741
85000,30,27,30,27,24,24,3,0.727598,0.147202,0.115385
86000,30,29,30,29,24,24,5,0.74774,0.155145,0.0357143
87000,30,27,30,27,26,26,1,0.804969,0.121337,0.115385
88000,30,29,30,29,28,28,1,0.821454,0.139221,0.0357143
