seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
1943367,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943368,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943369,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943370,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943371,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943372,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943373,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943374,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943375,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943376,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943377,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943378,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943379,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943380,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943381,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943382,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943383,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943384,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943385,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943386,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943387,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943388,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943389,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943390,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943391,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943392,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943393,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943394,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943395,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943396,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943397,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943398,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943399,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943400,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943401,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943402,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943403,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943404,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943405,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943406,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943407,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943408,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943409,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943410,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943411,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943412,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943413,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943414,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943415,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943416,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943417,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943418,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943419,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943420,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943421,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943422,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943423,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943424,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943425,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943426,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,5.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943427,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943428,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943429,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943430,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943431,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943432,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1943433,100,1000,2000,1,1,0,100,0,-20,0,3,0,-4,-12,6.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
