index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.12250000000000001,245.0,0.0,6.1381,2000.0
0.5,0.5,0.1887,377.4,0.0,6.430199999999999,2000.0
1.0,1.0,0.27280000000000004,545.6,0.0,6.819100000000001,2000.0
1.5,1.5,0.3839,767.8,0.0,7.278499999999999,2000.0
2.0,2.0,0.5199,1039.8,0.0,7.8989,2000.0
2.5,2.5,0.6415,1283.0,0.0,8.3949,2000.0
3.0,3.0,0.7642999999999999,1528.6,0.0,8.9436,2000.0
3.5,3.5,0.8550000000000001,1710.0,0.0,9.3286,2000.0
4.0,4.0,0.8955,1791.0,0.0,9.4605,2000.0
4.5,4.5,0.9128000000000001,1825.6,0.0,9.502199999999998,2000.0
5.0,5.0,0.9155,1831.0,0.0,9.4846,2000.0
5.5,5.5,0.9024999999999999,1805.0,0.0,9.3958,2000.0
6.0,6.0,0.8977,1795.4,0.0,9.329,2000.0
6.5,6.5,0.8936999999999999,1787.4,0.0,9.306700000000001,2000.0
7.0,7.0,0.8921999999999999,1784.4,0.0,9.283,2000.0
7.5,7.5,0.89,1780.0,0.0,9.2623,2000.0
8.0,8.0,0.8808999999999999,1761.8,0.0,9.1874,2000.0
8.5,8.5,0.8766999999999999,1753.4,0.0,9.1564,2000.0
9.0,9.0,0.8771000000000001,1754.2,0.0,9.1512,2000.0
9.5,9.5,0.8786999999999999,1757.4,0.0,9.1645,2000.0
10.0,10.0,0.8789999999999999,1758.0,0.0,9.164100000000001,2000.0
10.5,10.5,0.8689,1737.8,0.0,9.0851,2000.0
11.0,11.0,0.8712,1742.4,0.0,9.0974,2000.0
11.5,11.5,0.8748999999999999,1749.8,0.0,9.1164,2000.0
12.0,12.0,0.8676,1735.2,0.0,9.0654,2000.0
12.5,12.5,0.8452999999999999,1690.6,0.0,8.8806,2000.0
13.0,13.0,0.8246,1649.2,0.0,8.723,2000.0
13.5,13.5,0.8034000000000001,1606.8,0.0,8.5285,2000.0
14.0,14.0,0.7594,1518.8,0.0,8.171800000000001,2000.0
14.5,14.5,0.6955,1391.0,0.0,7.6578,2000.0
15.0,15.0,0.6314,1262.8,0.0,7.1345,2000.0
15.5,15.5,0.5554,1110.8,0.0,6.518300000000001,2000.0
16.0,16.0,0.47730000000000006,954.6,0.0,5.885999999999999,2000.0
16.5,16.5,0.4123,824.6,0.0,5.3632,2000.0
17.0,17.0,0.3704,740.8,0.0,5.0234,2000.0
17.5,17.5,0.33399999999999996,668.0,0.0,4.7405,2000.0
18.0,18.0,0.32310000000000005,646.2,0.0,4.665900000000001,2000.0
18.5,18.5,0.32199999999999995,644.0,0.0,4.6777,2000.0
19.0,19.0,0.33140000000000003,662.8,0.0,4.777300000000001,2000.0
19.5,19.5,0.36710000000000004,734.2,0.0,5.1,2000.0
20.0,20.0,0.41450000000000004,829.0,0.0,5.5276000000000005,2000.0
20.5,20.5,0.508,1016.0,0.0,6.310699999999999,2000.0
21.0,21.0,0.6339,1267.8,0.0,7.3199,2000.0
21.5,21.5,0.775,1550.0,0.0,8.4704,2000.0
22.0,22.0,0.8100000000000002,1620.0,0.0,9.007900000000001,2000.0
22.5,22.5,0.7073,1414.6,0.0,8.6751,2000.0
23.0,23.0,0.5791999999999999,1158.4,0.0,8.168600000000001,2000.0
23.5,23.5,0.43360000000000004,867.2,0.0,7.5363,2000.0
24.0,24.0,0.3035,607.0,0.0,6.983900000000001,2000.0
24.5,24.5,0.20470000000000002,409.4,0.0,6.5059,2000.0
25.0,25.0,0.1371,274.2,0.0,6.2303,2000.0
25.5,25.5,0.08449999999999999,169.0,0.0,5.994200000000001,2000.0
26.0,26.0,0.0477,95.4,0.0,5.8061,2000.0
26.5,26.5,0.0337,67.4,0.0,5.742200000000001,2000.0
27.0,27.0,0.0223,44.6,0.0,5.686400000000001,2000.0
27.5,27.5,0.012100000000000001,24.2,0.0,5.6656,2000.0
28.0,28.0,0.008,16.0,0.0,5.6561,2000.0
28.5,28.5,0.0033999999999999994,6.8,0.0,5.6302,2000.0
29.0,29.0,0.0022,4.4,0.0,5.6091,2000.0
29.5,29.5,0.0013000000000000002,2.6,0.0,5.587,2000.0
30.0,30.0,0.0014000000000000002,2.8,0.0,5.600500000000001,2000.0
30.5,30.5,0.001,2.0,0.0,5.616300000000001,2000.0
31.0,31.0,0.0006000000000000001,1.2,0.0,5.617699999999999,2000.0
31.5,31.5,0.0001,0.2,0.0,5.589099999999999,2000.0
32.0,32.0,0.0002,0.4,0.0,5.615799999999999,2000.0
32.5,32.5,0.0,0.0,,5.593500000000001,2000.0
33.0,33.0,0.0001,0.2,0.0,5.570499999999999,2000.0
33.5,33.5,0.0,0.0,,5.5966,2000.0
34.0,34.0,0.0001,0.2,0.0,5.6004,2000.0
34.5,34.5,0.0,0.0,,5.618,2000.0
35.0,35.0,0.0001,0.2,0.0,5.5981000000000005,2000.0
35.5,35.5,0.0,0.0,,5.582000000000001,2000.0
36.0,36.0,0.0,0.0,,5.63,2000.0
36.5,36.5,0.0,0.0,,5.5847,2000.0
37.0,37.0,0.0,0.0,,5.662599999999999,2000.0
37.5,37.5,0.0,0.0,,5.5941,2000.0
38.0,38.0,0.0,0.0,,5.5717,2000.0
38.5,38.5,0.0,0.0,,5.6335999999999995,2000.0
39.0,39.0,0.0,0.0,,5.625400000000001,2000.0
39.5,39.5,0.0,0.0,,5.5891,2000.0
40.0,40.0,0.0,0.0,,5.5946,2000.0
