Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
881.549,30,30,30,30,29,29,1,0.59288,0.203969,0
1972.25,30,30,30,30,29,29,1,0.731231,0.156013,0
2951.01,30,30,30,30,29,29,1,0.767659,0.152311,0
3935.69,30,30,30,30,29,29,1,0.803744,0.144292,0
4836.67,30,30,30,30,29,29,1,0.823663,0.142294,0
5999.43,30,30,30,30,28,28,2,0.878987,0.128588,0
6949.71,30,30,30,30,29,29,1,0.959167,0.107735,0
7854.45,30,30,30,30,29,29,1,0.951367,0.110461,0
8997.25,30,30,30,30,28,28,2,0.956433,0.109975,0
9909.23,30,30,30,30,29,29,1,0.986025,0.103982,0
10974.5,30,30,30,30,29,29,1,0.974013,0.10725,0
12000,30,29,30,29,28,28,1,0.997253,0.0892212,0.0357143
13000,30,28,30,28,27,27,1,0.997354,0.0986815,0.0740741
13622.9,30,30,30,30,29,29,1,0.975369,0.115591,0
14528.1,30,30,30,30,29,29,1,0.978448,0.110459,0
15909,30,30,30,30,29,29,1,0.970701,0.10891,0
16935.7,30,30,30,30,29,29,1,0.974747,0.106625,0
17927.5,30,30,30,30,29,29,1,0.981648,0.104634,0
18982.3,30,30,30,30,29,29,1,0.966284,0.11703,0
19907,30,30,30,30,29,29,1,0.993103,0.10362,0
20933.1,30,30,30,30,29,29,1,0.994055,0.103523,0
21899.2,30,30,30,30,29,29,1,0.952899,0.114553,0
22994.4,30,30,30,30,29,29,1,0.957204,0.109739,0
23893,30,30,30,30,29,29,1,0.936782,0.115574,0
24821.7,30,30,30,30,29,29,1,0.986757,0.103922,0
25965.3,30,30,30,30,29,29,1,0.987069,0.103883,0
26998.3,30,30,30,30,29,29,1,1,0.103275,0
27691.3,30,30,30,30,29,29,1,1,0.103275,0
28706.9,30,30,30,30,29,29,1,1,0.103275,0
29959.5,30,30,30,30,29,29,1,0.953721,0.115828,0
30822.3,30,30,30,30,29,29,1,0.936355,0.114377,0
32000,30,29,30,29,28,28,1,0.940165,0.102546,0.0357143
33000,30,29,30,29,28,28,1,0.965939,0.107854,0.0357143
34000,30,29,30,29,28,28,1,0.966626,0.109242,0.0357143
34871.9,30,30,30,30,29,29,1,0.992866,0.103586,0
35960.5,30,30,30,30,29,29,1,1,0.103275,0
36997.9,30,30,30,30,28,28,2,1,0.103717,0
37910.9,30,30,30,30,29,29,1,1,0.103275,0
38747.3,30,30,30,30,29,29,1,1,0.103275,0
39948,30,30,30,30,29,29,1,1,0.103275,0
40876.8,30,30,30,30,29,29,1,1,0.103275,0
41998.9,30,30,30,30,28,28,2,1,0.101862,0
42669.7,30,30,30,30,29,29,1,1,0.103275,0
43997.1,30,30,30,30,28,28,2,1,0.1025,0
44747.7,30,30,30,30,29,29,1,1,0.103275,0
46000,30,29,30,29,28,28,1,1,0.099821,0.0357143
46995.5,30,30,30,30,29,29,1,1,0.103275,0
47998.1,30,30,30,30,28,28,2,1,0.101011,0
48994.2,30,30,30,30,29,29,1,1,0.103275,0
49999.9,30,30,30,30,28,28,2,0.960996,0.102108,0
50981.2,30,30,30,30,29,29,1,0.974922,0.107455,0
51998.7,30,30,30,30,28,28,2,0.955701,0.11437,0
52922.7,30,30,30,30,29,29,1,0.96879,0.106113,0
53999.4,30,30,30,30,28,28,2,0.957766,0.110631,0
54894.2,30,30,30,30,29,29,1,0.963965,0.110539,0
55926.5,30,30,30,30,29,29,1,0.974847,0.106716,0
56933.2,30,30,30,30,29,29,1,0.977874,0.105407,0
57997.8,30,30,30,30,28,28,2,0.998677,0.0980861,0
58933.7,30,30,30,30,29,29,1,0.998723,0.103325,0
59997.8,30,30,30,30,28,28,2,1,0.102996,0
60406.5,30,30,30,30,29,29,1,1,0.103275,0
61900.9,30,30,30,30,29,29,1,1,0.103275,0
63000,30,29,30,29,28,28,1,0.992857,0.099821,0.0357143
63999.8,30,30,30,30,28,28,2,0.9875,0.096944,0
64827.3,30,30,30,30,29,29,1,0.995074,0.103686,0
65834.9,30,30,30,30,29,29,1,0.968784,0.109006,0
66869.9,30,30,30,30,29,29,1,0.971173,0.107097,0
67960,30,30,30,30,29,29,1,0.953768,0.117269,0
68689.3,30,30,30,30,29,29,1,0.966814,0.107093,0
69928.5,30,30,30,30,29,29,1,0.96883,0.10659,0
70982.6,30,30,30,30,29,29,1,0.977011,0.105574,0
71964.5,30,30,30,30,29,29,1,1,0.103275,0
72976.1,30,30,30,30,29,29,1,1,0.103275,0
73914.3,30,30,30,30,29,29,1,0.975369,0.115591,0
74728.8,30,30,30,30,29,29,1,0.984326,0.105888,0
76000,30,29,30,29,28,28,1,1,0.0950591,0.0357143
76991.1,30,30,30,30,29,29,1,1,0.103275,0
77924.2,30,30,30,30,29,29,1,0.981609,0.105903,0
78966.2,30,30,30,30,29,29,1,0.985481,0.104595,0
79999.4,30,30,30,30,28,28,2,0.986395,0.0901533,0
80934.1,30,30,30,30,29,29,1,0.965093,0.109893,0
81936.4,30,30,30,30,29,29,1,0.969093,0.107261,0
82950.8,30,30,30,30,29,29,1,0.990148,0.103768,0
83862.9,30,30,30,30,29,29,1,0.960591,0.118546,0
84999.4,30,30,30,30,28,28,2,0.949382,0.112397,0
85788.8,30,30,30,30,29,29,1,0.960118,0.108167,0
86901.5,30,30,30,30,29,29,1,0.964696,0.106518,0
88000,30,29,30,29,27,27,2,0.967593,0.12357,0.0357143
88937,30,30,30,30,29,29,1,0.996552,0.103659,0
89620.5,30,30,30,30,29,29,1,0.997126,0.103537,0
90891,30,30,30,30,29,29,1,0.997537,0.103465,0
91999.9,30,30,30,30,28,28,2,0.997768,0.0892555,0
92992.6,30,30,30,30,29,29,1,0.997972,0.103402,0
93999,30,30,30,30,29,29,1,0.998433,0.10335,0
94815.1,30,30,30,30,29,29,1,0.978448,0.107361,0
95930.3,30,30,30,30,29,29,1,0.987931,0.104204,0
96900.3,30,30,30,30,29,29,1,0.989028,0.104007,0
97786,30,30,30,30,29,29,1,0.989028,0.104007,0
98979.5,30,30,30,30,29,29,1,1,0.103275,0
99997.2,30,30,30,30,29,29,1,0.972085,0.110254,0
100974,30,30,30,30,29,29,1,0.974513,0.107523,0
101961,30,30,30,30,29,29,1,0.9463,0.12163,0
102696,30,30,30,30,29,29,1,0.980603,0.106046,0
103952,30,30,30,30,29,29,1,0.983666,0.104909,0
104937,30,30,30,30,29,29,1,1,0.103275,0
105999,30,30,30,30,28,28,2,1,0.104863,0
107000,30,29,30,29,28,28,1,0.987013,0.107629,0
107998,30,30,30,30,28,28,2,0.968304,0.109261,0
108932,30,30,30,30,29,29,1,0.98358,0.104507,0
109948,30,30,30,30,29,29,1,0.955602,0.11972,0
110559,30,30,30,30,29,29,1,0.955602,0.11972,0
111923,30,30,30,30,29,29,1,0.95913,0.1111,0
113000,30,29,30,29,28,28,1,0.959428,0.0954156,0.0357143
113998,30,30,30,30,28,28,2,0.960913,0.110107,0
114984,30,30,30,30,29,29,1,0.961782,0.107936,0
115793,30,30,30,30,29,29,1,0.972156,0.106658,0
117000,30,29,30,29,29,29,0,0.975862,0.105957,0.0344828
117600,30,30,30,30,29,29,1,0.962069,0.110555,0
118906,30,30,30,30,29,29,1,0.968966,0.106819,0
119846,30,30,30,30,29,29,1,0.970936,0.106368,0
120942,30,30,30,30,29,29,1,0.971805,0.106228,0
121955,30,30,30,30,29,29,1,0.972414,0.106149,0
122982,30,30,30,30,29,29,1,0.96798,0.117816,0
123964,30,30,30,30,29,29,1,0.997126,0.103406,0
125000,30,29,30,29,28,28,1,0.952512,0.11965,0.0357143
125557,30,30,30,30,29,29,1,0.986737,0.104933,0
127000,30,29,30,29,28,28,1,0.989496,0.104268,0.0357143
127632,30,30,30,30,29,29,1,0.991379,0.10385,0
128992,30,30,30,30,29,29,1,0.99179,0.103789,0
129955,30,30,30,30,29,29,1,0.992504,0.103692,0
130990,30,30,30,30,29,29,1,0.986207,0.105574,0
131859,30,30,30,30,29,29,1,0.991379,0.103994,0
133000,30,30,30,30,28,28,2,0.984694,0.106822,0
133672,30,30,30,30,29,29,1,0.990596,0.104451,0
134821,30,30,30,30,29,29,1,0.991379,0.104233,0
135943,30,30,30,30,29,29,1,0.969622,0.109816,0
137000,30,30,30,30,27,27,3,0.994444,0.0936156,0
137917,30,30,30,30,29,29,1,0.99569,0.103481,0
138998,30,30,30,30,29,29,1,0.982759,0.111896,0
139956,30,30,30,30,29,29,1,0.995402,0.103629,0
140815,30,30,30,30,29,29,1,0.99637,0.103489,0
141914,30,30,30,30,29,29,1,0.99637,0.103489,0
142743,30,30,30,30,29,29,1,1,0.103275,0
143997,30,30,30,30,29,29,1,0.994253,0.104425,0
144996,30,30,30,30,29,29,1,0.996552,0.103659,0
145935,30,30,30,30,29,29,1,0.971648,0.108639,0
146966,30,30,30,30,29,29,1,0.998084,0.103388,0
147999,30,30,30,30,28,28,2,0.975446,0.106772,0
148982,30,30,30,30,29,29,1,0.980036,0.105771,0
149978,30,30,30,30,29,29,1,1,0.103275,0
150999,30,30,30,30,28,28,2,0.938034,0.130804,0
151984,30,30,30,30,29,29,1,0.971264,0.117643,0
152785,30,30,30,30,29,29,1,0.977011,0.107873,0
153900,30,30,30,30,29,29,1,0.981851,0.105292,0
154808,30,30,30,30,29,29,1,1,0.103275,0
155942,30,30,30,30,29,29,1,0.973475,0.112117,0
156930,30,30,30,30,29,29,1,0.979716,0.106173,0
157965,30,30,30,30,29,29,1,0.982759,0.105,0
158683,30,30,30,30,29,29,1,0.949515,0.120345,0
159951,30,30,30,30,29,29,1,0.953542,0.114151,0
160989,30,30,30,30,29,29,1,0.972443,0.108477,0
161891,30,30,30,30,29,29,1,0.998185,0.103376,0
162863,30,30,30,30,29,29,1,0.998358,0.103358,0
163902,30,30,30,30,29,29,1,0.977931,0.113678,0
164803,30,30,30,30,29,29,1,1,0.103275,0
165808,30,30,30,30,29,29,1,0.972701,0.108735,0
166906,30,30,30,30,29,29,1,0.975734,0.106309,0
167978,30,30,30,30,29,29,1,0.975734,0.106309,0
168997,30,30,30,30,29,29,1,0.976601,0.105875,0
169997,30,30,30,30,28,28,2,1,0.104583,0
171000,30,29,30,29,28,28,1,1,0.104732,0.0357143
171958,30,30,30,30,29,29,1,0.978448,0.106867,0
172999,30,30,30,30,28,28,2,0.982993,0.0906528,0
173998,30,30,30,30,28,28,2,0.985714,0.105815,0
174853,30,30,30,30,29,29,1,0.988109,0.103901,0
175982,30,30,30,30,29,29,1,0.988506,0.10385,0
177000,30,30,30,30,28,28,2,0.971154,0.108765,0
178000,30,30,30,30,28,28,2,0.972789,0.107304,0
178976,30,30,30,30,29,29,1,0.974922,0.107455,0
179858,30,30,30,30,29,29,1,1,0.103275,0
180868,30,30,30,30,29,29,1,1,0.103275,0
181782,30,30,30,30,29,29,1,1,0.103275,0
182884,30,30,30,30,29,29,1,1,0.103275,0
184000,30,29,30,29,28,28,1,0.989286,0.101352,0.0357143
184927,30,30,30,30,29,29,1,1,0.103275,0
185995,30,30,30,30,29,29,1,1,0.103275,0
186964,30,30,30,30,29,29,1,1,0.103275,0
188000,30,29,30,29,28,28,1,0.978022,0.106895,0.0357143
188960,30,30,30,30,29,29,1,0.983773,0.105078,0
189985,30,30,30,30,29,29,1,0.986864,0.104286,0
191000,30,29,30,29,28,28,1,1,0.101011,0.0357143
191914,30,30,30,30,29,29,1,1,0.103275,0
193000,30,29,30,29,27,27,2,1,0.106847,0.0357143
193999,30,30,30,30,28,28,2,1,0.105084,0
195000,30,29,30,29,28,28,1,1,0.1025,0.0357143
195981,30,30,30,30,29,29,1,0.971264,0.117643,0
197000,30,29,30,29,28,28,1,0.967143,0.121408,0.0357143
197961,30,30,30,30,29,29,1,0.968276,0.119137,0
198986,30,30,30,30,29,29,1,0.943223,0.118698,0
199936,30,30,30,30,29,29,1,0.946638,0.114046,0
Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
881.549,30,30,30,30,29,29,1,0.59288,0.203969,0
1972.25,30,30,30,30,29,29,1,0.731231,0.156013,0
2951.01,30,30,30,30,29,29,1,0.767659,0.152311,0
3935.69,30,30,30,30,29,29,1,0.803744,0.144292,0
4836.67,30,30,30,30,29,29,1,0.823663,0.142294,0
5999.43,30,30,30,30,28,28,2,0.878987,0.128588,0
6949.71,30,30,30,30,29,29,1,0.959167,0.107735,0
7854.45,30,30,30,30,29,29,1,0.951367,0.110461,0
8997.25,30,30,30,30,28,28,2,0.956433,0.109975,0
9909.23,30,30,30,30,29,29,1,0.986025,0.103982,0
10974.5,30,30,30,30,29,29,1,0.974013,0.10725,0
12000,30,29,30,29,28,28,1,0.997253,0.0892212,0.0357143
13000,30,28,30,28,27,27,1,0.997354,0.0986815,0.0740741
13622.9,30,30,30,30,29,29,1,0.975369,0.115591,0
14528.1,30,30,30,30,29,29,1,0.978448,0.110459,0
15909,30,30,30,30,29,29,1,0.970701,0.10891,0
16935.7,30,30,30,30,29,29,1,0.974747,0.106625,0
17927.5,30,30,30,30,29,29,1,0.981648,0.104634,0
18982.3,30,30,30,30,29,29,1,0.966284,0.11703,0
19907,30,30,30,30,29,29,1,0.993103,0.10362,0
20933.1,30,30,30,30,29,29,1,0.994055,0.103523,0
21899.2,30,30,30,30,29,29,1,0.952899,0.114553,0
22994.4,30,30,30,30,29,29,1,0.957204,0.109739,0
23893,30,30,30,30,29,29,1,0.936782,0.115574,0
24821.7,30,30,30,30,29,29,1,0.986757,0.103922,0
25965.3,30,30,30,30,29,29,1,0.987069,0.103883,0
26998.3,30,30,30,30,29,29,1,1,0.103275,0
27691.3,30,30,30,30,29,29,1,1,0.103275,0
28706.9,30,30,30,30,29,29,1,1,0.103275,0
29959.5,30,30,30,30,29,29,1,0.953721,0.115828,0
30822.3,30,30,30,30,29,29,1,0.936355,0.114377,0
32000,30,29,30,29,28,28,1,0.940165,0.102546,0.0357143
33000,30,29,30,29,28,28,1,0.965939,0.107854,0.0357143
34000,30,29,30,29,28,28,1,0.966626,0.109242,0.0357143
34871.9,30,30,30,30,29,29,1,0.992866,0.103586,0
35960.5,30,30,30,30,29,29,1,1,0.103275,0
