seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
1314055,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314056,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314057,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314058,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314059,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314060,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314061,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314062,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314063,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314064,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,0.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314065,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314066,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314067,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314068,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314069,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314070,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314071,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314072,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314073,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314074,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,1.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314075,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314076,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314077,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314078,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314079,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314080,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314081,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314082,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314083,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314084,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,2.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314085,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314086,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314087,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314088,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314089,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314090,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314091,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314092,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314093,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314094,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,3.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314095,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314096,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314097,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314098,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314099,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314100,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314101,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314102,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314103,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314104,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,4.5,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
1314105,10,1000,2000,1,1,0,100,0,-20,0,10,0,-4,-10,5.0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
